no,title,link
0," “돈 벌어가세요” 동대문 일요시장, 겨울옷 핫플된 사연? [르포] ",http://v.daum.net/v/20251110100357735
1," 동대문구, ‘11월 자전거교실’ 개강… 올해 마지막 초보자 교육 진행 ",http://v.daum.net/v/20251110145114101
2," 음주운전 차, 동대문역서 인도 돌진...日 관광객 '사망' ",http://v.daum.net/v/20251103073316480
3," 동대문구, 25일까지 '주민 건강도시학교'···""건강하게 살자"" ",http://v.daum.net/v/20251109223318356
4," 서울 동대문구, 15일 배봉산정원 가족축제 개최 ",http://v.daum.net/v/20251104104517122
5," 동대문구, 관내 144명 학생에 1억3670만원 장학금 지급 ",http://v.daum.net/v/20251107161116880
6," 동대문구, 청량리시장 1·2공영주차장까지 무인정산 확대 ",http://v.daum.net/v/20251107073911464
7," 동대문문화재단, ‘찾아가는 문화행사’ 성황 개막 ",http://v.daum.net/v/20251106064448976
8," '해외연수비 과다청구' 의혹 동대문구의회 의장, 사과 요구하자 ""알아서 하겠다"" ",http://v.daum.net/v/20251106174500454
9," 동대문구, ‘2025 안전심포지엄’ 개최…실전 대응력 점검 ",http://v.daum.net/v/20251105150913954
10, 이종배 서울시의원 “동대문구 서울시립도서관 투자심사 통과 환영… 동대문구 발전 마중물 될 것” ,http://v.daum.net/v/20251104100914612
11," 동대문문화재단, 서울 최초 실내형 공개공간서 ‘찾아가는 문화행사’ 성황리 개최 ",http://v.daum.net/v/20251106113412671
12," 이필형 동대문구청장, 청년들과 ‘밥심’ 나눴다…“청년들, 구가 함께 응원” ",http://v.daum.net/v/20251106070314299
13, 동대문·여의도 민주노총 시위 예고 ,http://v.daum.net/v/20251108090745451
14, 서울 효제동 재개발 통과…동대문 일대 정비사업 탄력 ,http://v.daum.net/v/20251106162613974
15," 동대문구, 지역 인재 144명에 장학금 1억3670만 원 지원 ",http://v.daum.net/v/20251110065146033
16," 동대문구, '안전심포지엄' 개최...가상 재난 대응 역량 점검[동네방네] ",http://v.daum.net/v/20251105155647420
17," 성해란 동대문구의원, 홍릉동 6구역 재개발 현장 점검… “통학로·보행자 안전 대책 서둘러야” ",http://v.daum.net/v/20251107102453111
18," 동대문구, 주민 참여 온라인 이벤트 운영 ",http://v.daum.net/v/20251031114913106
19," 동대문구, 교통·안전·교육 등 ‘지금 스마트도시 동대문구는?’ 발간 ",http://v.daum.net/v/20251107151539684
20," '낙엽 헌터스'…동대문구, 구청장과 함께 낙엽대청소 ",http://v.daum.net/v/20251030131227234
21, 동대문구시설관리공단 정보 플랫폼 ‘동대문구립도서관 정보 모음집’ 시범 운영 ,http://v.daum.net/v/20251031155149253
22," 동대문구, 옥외광고협회와 ‘안전도시’ 업무협약 체결 ",http://v.daum.net/v/20251107063428331
23, 서울시립동대문도서관 내년 말 착공 확정 ,http://v.daum.net/v/20251029104827826
24," 동대문구, 3,500여 구민 함께 걸으며 가을 만끽 ",http://v.daum.net/v/20251027083048646
25," 동대문구, ‘낙엽 헌터스’ 출범…가을철 낙엽 대청소 본격 돌입 ",http://v.daum.net/v/20251030113625969
26, ‘동북권 랜드마크’ 서울시립동대문도서관 2030년에 들어선다 ,http://v.daum.net/v/20251029161250958
27, “빛과 정원이 만난다”… 동대문구 배봉산에서 열리는 가을 가족축제 ,http://v.daum.net/v/20251104094914373
28," 동대문구, 재생자전거 30대 취약계층에 전달 ",http://v.daum.net/v/20251031065938630
29, 서울시립동대문도서관 재추진 확정…시 투자심사 최종 통과 ,http://v.daum.net/v/20251030101914567
